customer_id,tenure,monthly_charges,total_charges,support_calls,usage_frequency,churn
CUST-0000,52,105.56964681062857,5554.020757842782,2,0.3616660831950428,0
CUST-0001,15,103.02198645669915,1524.1891987962101,1,0.10840037271662273,0
CUST-0002,61,59.71835296184548,3655.8526723300947,0,0.875933022186205,0
CUST-0003,21,86.80851365706462,1752.9533887846098,1,0.7831600290279028,0
CUST-0004,24,40.4984295415821,1007.9541735415398,3,0.1681180975977251,0
CUST-0005,3,49.31477302610133,220.26951587563286,1,0.5122605638762605,0
CUST-0006,22,109.63358185211197,2386.206723285556,1,0.4873748079212449,0
CUST-0007,53,21.300192351073605,1073.399025281421,2,0.6250915526865286,0
CUST-0008,2,28.550853085446807,71.00085940802904,5,0.9461868939912612,0
CUST-0009,30,40.78862551460273,1296.399297687669,4,0.5797714417624796,0
CUST-0010,38,22.65322038738197,788.3295464464695,2,0.5402172667786186,0
CUST-0011,2,38.14354350897973,20.971677956542365,2,0.050322932934663944,0
CUST-0012,64,78.30415609696922,4988.756512290454,5,0.06290747601802393,0
CUST-0013,60,62.1424550592498,3687.5301123284535,1,0.1873467913267889,0
CUST-0014,21,109.26717110769748,2253.751319931197,2,0.03247077169174828,0
CUST-0015,33,101.7443561738441,3252.8577223536663,1,0.7433528955700124,0
CUST-0016,58,54.1817351697876,3171.9934872179742,3,0.7233303039939631,0
CUST-0017,22,45.94234334312925,1027.6675786923254,0,0.13605623443164294,0
CUST-0018,49,57.96924081672669,2755.5503400294256,0,0.8360789007952809,0
CUST-0019,59,79.02949425148077,4735.599948835178,2,0.15478603484611198,0
CUST-0020,42,46.80636408228763,2049.921907202605,1,0.3011755869973588,0
CUST-0021,60,82.41489078491341,4907.348169605799,1,0.248976899161365,0
CUST-0022,15,60.941165219124045,972.444907835711,2,0.3723070985730478,0
CUST-0023,62,75.20471808519802,4634.042631032729,1,0.25466376588996187,0
CUST-0024,62,63.61265291353167,3953.0403061495163,2,0.48895092643845206,0
CUST-0025,47,49.44657595419177,2282.200963095968,2,0.4074078813546854,0
CUST-0026,62,114.84533069621567,7231.123079338486,3,0.9865694907793265,0
CUST-0027,51,96.36057941597608,4899.588688848285,3,0.055926350128225666,1
CUST-0028,55,34.011317576645254,1876.9449178566622,1,0.14218137638735162,0
CUST-0029,64,106.84679758979128,6803.798176373451,1,0.052825893908602484,0
CUST-0030,3,68.74311982495136,299.29513933667386,1,0.6258411949823758,0
CUST-0031,51,109.45522268940914,5676.547089464336,2,0.05450927741371958,0
CUST-0032,7,99.98552559473153,781.4451382262678,2,0.8364397373761233,0
